집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220401,04,1,1,10,1,2,0,2,0,0,0,4,
20220401,04,1,1,11,0,66,8,5,12,3,16,110,
20220401,04,1,1,24,1,8,0,0,0,0,0,8,
20220401,04,1,1,44,0,36,6,4,9,6,6,67,
20220401,04,1,1,44,1,2,0,0,0,0,0,2,
20220401,04,1,1,26,1,14,3,5,1,0,4,27,
20220401,04,1,1,43,1,43,6,5,10,1,6,71,
20220401,04,1,2,00,0,8122,2024,1372,1955,3037,436,16946,
20220401,04,1,2,00,1,3187,426,180,384,560,157,4894,
20220401,04,1,2,01,0,795,108,87,265,417,17,1689,
20220401,04,1,2,45,0,140,25,81,127,195,3,571,
20220401,04,1,2,02,0,342,90,61,108,174,6,781,
20220401,04,1,2,18,0,385,87,89,129,372,16,1078,
20220401,04,1,2,34,0,188,36,36,13,74,11,358,
20220401,04,1,2,28,0,280,53,31,25,21,19,429,
20220401,04,1,2,37,0,38,8,9,30,50,4,139,
20220401,04,1,2,48,0,105,22,10,23,40,5,205,
20220401,04,1,2,49,0,145,29,17,45,45,5,286,
20220401,04,1,2,46,0,16,8,5,11,27,0,67,
20220401,04,1,2,08,0,149,29,23,23,112,10,346,
20220401,04,1,2,08,1,6,1,1,0,1,0,9,
20220401,04,1,2,10,0,416,58,31,30,65,33,633,
20220401,04,1,2,10,1,24,0,2,3,1,2,32,
20220401,04,1,2,11,0,552,58,50,71,72,26,829,
20220401,04,1,2,44,0,392,71,34,56,140,19,712,
20220401,04,1,2,44,1,20,3,0,0,1,2,26,
20220401,04,1,2,27,1,187,3,7,0,3,9,209,
20220401,04,1,2,26,1,43,4,1,0,0,6,54,
20220401,04,1,2,43,1,309,54,12,26,37,7,445,
20220401,05,0,1,00,0,4661,319,974,1121,417,47,7539,
20220401,05,0,1,00,1,1393,81,235,185,145,125,2164,
20220401,05,0,1,01,0,62,3,20,21,7,0,113,
20220401,05,0,1,45,0,12,1,6,5,2,1,27,
20220401,05,0,1,02,0,132,13,23,24,7,1,200,
20220401,05,0,1,18,0,164,17,46,100,42,1,370,
20220401,05,0,1,34,0,54,6,5,21,4,0,90,
20220401,05,0,1,28,0,174,7,10,10,9,19,229,
20220401,05,0,1,37,0,24,0,1,26,3,0,54,
20220401,05,0,1,48,0,9,0,3,4,1,4,21,
20220401,05,0,1,49,0,23,1,2,2,0,1,29,
20220401,05,0,1,46,0,6,0,2,1,0,0,9,
20220401,05,0,1,08,0,170,8,16,23,23,2,242,
20220401,05,0,1,08,1,10,0,0,0,1,1,12,
20220401,05,0,1,10,0,168,2,9,17,6,1,203,
20220401,05,0,1,10,1,11,1,4,0,2,4,22,
20220401,05,0,1,11,0,279,23,33,27,14,13,389,
20220401,05,0,1,44,0,130,11,19,31,10,24,225,
20220401,05,0,1,44,1,5,0,0,0,0,0,5,
20220401,05,0,1,26,1,103,5,0,2,0,18,128,
20220401,05,0,1,43,1,20,0,0,0,1,1,22,
20220401,05,0,2,00,0,43149,3609,2777,3171,6406,1646,60758,
20220401,05,0,2,00,1,18311,935,610,426,911,717,21910,
20220401,05,0,2,01,0,1627,166,155,316,538,33,2835,
20220401,05,0,2,45,0,237,29,88,172,247,6,779,
20220401,05,0,2,02,0,1244,160,103,147,300,33,1987,
