행정구,승객수,기준_날짜,시군구
11060,185504,20220103,동대문구
11060,191218,20220104,동대문구
11060,191306,20220105,동대문구
11060,194723,20220106,동대문구
11060,201417,20220107,동대문구
11060,154405,20220108,동대문구
11060,114561,20220109,동대문구
11060,187213,20220112,동대문구
11060,191679,20220113,동대문구
11060,199900,20220114,동대문구
11060,159074,20220115,동대문구
11060,117812,20220116,동대문구
11060,195714,20220117,동대문구
11060,196473,20220118,동대문구
11060,199038,20220119,동대문구
11060,203930,20220120,동대문구
11060,213672,20220121,동대문구
11060,166766,20220122,동대문구
11060,123926,20220123,동대문구
11060,205902,20220124,동대문구
11060,203219,20220125,동대문구
11060,213427,20220126,동대문구
11060,208404,20220127,동대문구
11060,207104,20220128,동대문구
11060,147016,20220129,동대문구
11060,110064,20220130,동대문구
11060,79061,20220131,동대문구
11060,62098,20220201,동대문구
11060,81065,20220202,동대문구
11060,174554,20220203,동대문구
11060,185191,20220204,동대문구
11060,133015,20220205,동대문구
11060,100923,20220206,동대문구
11060,189026,20220207,동대문구
11060,191125,20220208,동대문구
11060,194237,20220209,동대문구
11060,193228,20220210,동대문구
11060,196937,20220211,동대문구
11060,153323,20220212,동대문구
11060,111943,20220213,동대문구
11060,188978,20220214,동대문구
11060,183416,20220215,동대문구
11060,180549,20220216,동대문구
11060,178851,20220217,동대문구
11060,184938,20220224,동대문구
11060,196585,20220225,동대문구
11060,145260,20220226,동대문구
11060,113114,20220227,동대문구
11060,188501,20220228,동대문구
11060,119911,20220301,동대문구
11060,198458,20220302,동대문구
11060,196550,20220303,동대문구
11060,196817,20220304,동대문구
11060,147843,20220305,동대문구
11060,109137,20220306,동대문구
11060,190762,20220307,동대문구
11060,195854,20220308,동대문구
11060,126173,20220309,동대문구
11060,187634,20220310,동대문구
11060,198295,20220311,동대문구
11060,149088,20220312,동대문구
11060,95871,20220313,동대문구
11060,191877,20220315,동대문구
11060,190857,20220316,동대문구
11060,188295,20220317,동대문구
11060,191558,20220318,동대문구
11060,131670,20220319,동대문구
11060,111130,20220320,동대문구
11060,189830,20220321,동대문구
