일자,통행량,읍면동,행정동코드,시군구,행정구코드
20220107,127166,월계동,1111051,노원구,11110
20220107,31785,을지로2가,1102060,중구,11020
20220107,368860,이촌동,1103063,용산구,11030
20220107,19870,이태원동,1103065,용산구,11030
20220107,185543,일원동,1123072,강남구,11230
20220107,121820,자양동,1105064,광진구,11050
20220107,38386,잠실동,1124071,송파구,11240
20220107,0,잠원동,1122055,서초구,11220
20220107,132865,장안동,1106087,동대문구,11060
20220107,108196,장위동,1108076,성북구,11080
20220107,161627,장지동,1124081,송파구,11240
20220107,100614,장충동2가,1102058,중구,11020
20220107,143529,정릉동,1108062,성북구,11080
20220107,41372,종로3가,1101061,종로구,11010
20220107,33069,증산동,1112067,은평구,11120
20220107,17337,천호동,1125061,강동구,11250
20220107,126467,청담동,1123078,강남구,11230
20220107,28355,청운동,1101072,종로구,11010
20220107,42243,평창동,1101056,종로구,11010
20220107,69778,풍납동,1124051,송파구,11240
20220107,149448,한남동,1103074,용산구,11030
20220107,131309,합정동,1114068,마포구,11140
20220107,65100,홍은동,1113066,서대문구,11130
20220107,37322,화곡동,1116055,강서구,11160
20220107,41829,황학동,1102067,중구,11020
20220107,8978,회현동1가,1102054,중구,11020
20220108,199481,가산동,1118051,금천구,11180
20220108,66485,개봉동,1117064,구로구,11170
20220108,256279,방화동,1116070,강서구,11160
20220108,191513,고덕동,1125055,강동구,11250
20220108,106794,공릉동,1111056,노원구,11110
20220108,20119,공항동,1116069,강서구,11160
20220108,21932,광장동,1105063,광진구,11050
20220108,40264,구산동,1112057,은평구,11120
20220108,59443,논현동,1123052,강남구,11230
20220108,52354,당산동,1119055,영등포구,11190
20220108,31378,대림동,1119070,영등포구,11190
20220108,48215,도곡동,1123066,강남구,11230
20220108,44752,도봉동,1110064,도봉구,11100
20220108,77142,독산동,1118052,금천구,11180
20220108,50559,돈암동,1108058,성북구,11080
20220108,145806,망원동,1114069,마포구,11140
20220108,151381,반포동,1122056,서초구,11220
20220108,77569,방배동,1122061,서초구,11220
20220108,61543,삼성동,1121082,관악구,11210
20220108,183490,상계동,1111065,노원구,11110
20220108,373992,상암동,1114074,마포구,11140
20220108,90814,상일동,1125076,강동구,11250
20220108,300665,서초동,1122051,서초구,11220
20220108,9324,성북동,1108081,성북구,11080
20220108,82245,세곡동,1123076,강남구,11230
20220108,60755,송정동,1104069,성동구,11040
20220108,30737,송파동,1124061,송파구,11240
20220108,45573,수색동,1112068,은평구,11120
20220108,47197,숭인동,1101070,종로구,11010
20220108,148735,시흥동,1118057,금천구,11180
20220108,97582,신내동,1107069,중랑구,11070
20220108,52664,신당동,1102065,중구,11020
20220108,40736,신도림동,1117051,구로구,11170
20220108,14306,신림동,1121069,관악구,11210
20220108,158739,신사동,1112065,은평구,11120
20220108,325284,신월동,1115057,양천구,11150
20220108,44288,신정동,1115064,양천구,11150
20220108,0,신촌동,1113075,서대문구,11130
20220108,169450,양재동,1122066,서초구,11220
20220108,52392,양평동2가,1119061,영등포구,11190
20220108,239726,여의도동,1119054,영등포구,11190
20220108,46409,역삼동,1123064,강남구,11230
20220108,32318,연희동,1113076,서대문구,11130
20220108,75068,영등포동2가,1119073,영등포구,11190
20220108,41089,영등포동7가,1119073,영등포구,11190
20220108,230283,옥수동,1104073,성동구,11040
20220108,71613,용답동,1104070,성동구,11040
20220108,29556,용산동2가,1103052,용산구,11030
20220108,124905,월계동,1111051,노원구,11110
20220108,24891,을지로2가,1102060,중구,11020
20220108,351270,이촌동,1103063,용산구,11030
20220108,16494,이태원동,1103065,용산구,11030
20220108,171795,일원동,1123072,강남구,11230
20220108,108560,자양동,1105064,광진구,11050
20220108,34840,잠실동,1124071,송파구,11240
20220108,0,잠원동,1122055,서초구,11220
20220108,137087,장안동,1106087,동대문구,11060
20220108,102501,장위동,1108076,성북구,11080
20220108,145122,장지동,1124081,송파구,11240
20220108,80626,장충동2가,1102058,중구,11020
20220108,132118,정릉동,1108062,성북구,11080
20220108,37151,종로3가,1101061,종로구,11010
20220108,33910,증산동,1112067,은평구,11120
20220108,13890,천호동,1125061,강동구,11250
20220108,111320,청담동,1123078,강남구,11230
20220108,21487,청운동,1101072,종로구,11010
20220108,38871,평창동,1101056,종로구,11010
20220108,60561,풍납동,1124051,송파구,11240
20220108,136964,한남동,1103074,용산구,11030
20220108,121384,합정동,1114068,마포구,11140
20220108,65563,홍은동,1113066,서대문구,11130
20220108,35577,화곡동,1116055,강서구,11160
20220108,38515,황학동,1102067,중구,11020
20220108,8014,회현동1가,1102054,중구,11020
20220109,169903,가산동,1118051,금천구,11180
20220109,56658,개봉동,1117064,구로구,11170
20220109,215541,방화동,1116070,강서구,11160
20220109,172314,고덕동,1125055,강동구,11250
20220109,93805,공릉동,1111056,노원구,11110
20220109,16259,공항동,1116069,강서구,11160
20220109,17662,광장동,1105063,광진구,11050
20220109,35488,구산동,1112057,은평구,11120
20220109,51311,논현동,1123052,강남구,11230
20220109,40042,당산동,1119055,영등포구,11190
20220109,25161,대림동,1119070,영등포구,11190
20220109,42795,도곡동,1123066,강남구,11230
20220109,35503,도봉동,1110064,도봉구,11100
20220109,59490,독산동,1118052,금천구,11180
20220109,31083,돈암동,1108058,성북구,11080
20220109,127004,망원동,1114069,마포구,11140
20220109,132785,반포동,1122056,서초구,11220
20220109,70123,방배동,1122061,서초구,11220
20220109,49444,삼성동,1121082,관악구,11210
20220109,151905,상계동,1111065,노원구,11110
20220109,332940,상암동,1114074,마포구,11140
