차종종별,연료,건수,비율,읍면동,행정동코드,시군구,행정구코드
승용,휘발유,11030,0.05050652365246145,등촌1동,1116052,강서구,11160
승용,휘발유(무연),11019,0.05045615449922691,대치1동,1123060,강남구,11230
승용,휘발유(무연),11014,0.05043325942957484,은천동,1121078,관악구,11210
승용,경유,11013,0.05042868041564442,용신동,1106081,동대문구,11060
승용,휘발유,11012,0.05042410140171401,서교동,1114066,마포구,11140
승용,엘피지,11008,0.05040578534599235,방화1동,1116070,강서구,11160
승용,휘발유(무연),10990,0.05032336309524491,목2동,1115052,양천구,11150
승용,휘발유(무연),10982,0.0502867309838016,가락본동,1124065,송파구,11240
승용,휘발유(무연),10982,0.0502867309838016,일원본동,1123072,강남구,11230
승용,휘발유(무연),10959,0.05018141366340209,노량진2동,1120052,동작구,11200
승용,휘발유,10930,0.0500486222594201,묵1동,1107064,중랑구,11070
승용,경유,10930,0.0500486222594201,월계1동,1111051,노원구,11110
승용,휘발유,10917,0.04998909507832472,한남동,1103074,용산구,11030
승용,경유,10909,0.04995246296688142,답십리2동,1106086,동대문구,11060
승용,휘발유(무연),10908,0.04994788395295099,구로1동,1117052,구로구,11170
승용,휘발유(무연),10899,0.04990667282757728,월계1동,1111051,노원구,11110
승용,휘발유,10895,0.04988835677185562,방배본동,1122061,서초구,11220
승용,휘발유,10893,0.04987919874399479,잠원동,1122055,서초구,11220
승용,경유,10890,0.04986546170220355,옥수동,1104073,성동구,11040
승용,경유,10875,0.04979677649324735,구로1동,1117052,구로구,11170
승용,휘발유,10848,0.04967314311712618,신정1동,1115064,양천구,11150
승용,휘발유,10789,0.04940298129523179,노량진2동,1120052,동작구,11200
승용,휘발유(무연),10779,0.04935719115592765,대조동,1112058,은평구,11120
승용,휘발유(무연),10773,0.04932971707234517,독산1동,1118052,금천구,11180
승용,휘발유(무연),10766,0.04929766397483228,서초1동,1122051,서초구,11220
승용,경유,10752,0.04923355777980648,목2동,1115052,양천구,11150
승용,경유,10752,0.04923355777980648,등촌1동,1116052,강서구,11160
승용,휘발유(무연),10750,0.04922439975194565,행운동,1121057,관악구,11210
승용,경유,10740,0.04917860961264153,용답동,1104070,성동구,11040
승용,휘발유,10739,0.0491740305987111,흑석동,1120071,동작구,11200
승용,경유,10736,0.04916029355691987,신정1동,1115064,양천구,11150
승용,경유,10731,0.0491373984872678,잠원동,1122055,서초구,11220
화물,경유,10724,0.04910534538975491,서초1동,1122051,서초구,11220
화물,경유,10722,0.04909618736189408,역삼1동,1123064,강남구,11230
승용,휘발유,10706,0.04902292313900747,사당1동,1120063,동작구,11200
승용,휘발유(무연),10694,0.04896797497184249,반포본동,1122056,서초구,11220
승용,경유,10678,0.04889471074895588,성현동,1121079,관악구,11210
승용,경유,10675,0.04888097370716464,중계본동,1111060,노원구,11110
승용,휘발유,10639,0.04871612920566975,방배본동,1122061,서초구,11220
승용,경유,10636,0.04870239216387851,삼성동,1121082,관악구,11210
승용,휘발유(무연),10631,0.04867949709422644,역삼1동,1123064,강남구,11230
승용,휘발유,10629,0.04867033906636561,용강동,1114059,마포구,11140
승용,경유,10628,0.0486657600524352,위례동,1124082,송파구,11240
